empty_slots,free_bikes,latitude,longitude
10,2,24.465793,54.60961
0,0,24.461865,54.59336909999999
5,3,24.489678,54.60011209999999
5,0,24.478217,54.6002551
10,0,24.456953,54.615754100000004
3,2,24.485254,54.60806099999999
8,9,24.465954,54.598305100000005
10,0,24.450142,54.6052761
0,5,24.452079,54.60465099999999
7,3,24.467541523262938,54.60465708378251
1,4,24.441122,54.619692999999984
0,0,24.530481,54.403925000000015
7,2,24.440487,54.598675000000014
7,3,24.43432,54.579065000000014
0,0,24.426488,54.61844400000001
7,3,24.471234,54.32304099999999
4,3,24.499195,54.403549999999996
6,5,24.493276,54.40830700000001
8,4,24.490807,54.394041000000016
1,4,24.496565,54.408766000000014
5,5,24.486103,54.350087
7,2,24.471668,54.346034
3,5,24.456118,54.318692
4,4,24.507333,54.376300000000015
10,4,24.451202,54.334509999999995
5,3,24.465272,54.328835
6,3,24.498709,54.368071999999984
1,6,24.532724,54.40223499999999
0,0,24.543122,54.43949700000002
3,5,24.471629,54.35072199999999
6,5,24.499484,54.387652
0,0,24.549218,54.45022800000001
0,0,24.537567,54.42835099999999
10,20,24.4736005,54.3411577
6,7,24.495613,54.358322999999984
11,3,24.496235913154564,54.37363654375076
7,7,24.49209,54.366101000000015
7,7,24.46568,54.32818900000001
10,0,24.500137,54.388823
3,4,24.48809,54.356111
7,3,25.774024,55.93700200000001
2,6,25.784115,55.944659
6,5,25.697162,55.77956499999999
5,4,25.699328,55.78232299999999
1,8,25.668568,55.74276800000001
6,3,25.689161,55.77685199999999
6,8,25.683122,55.78126900000001
6,5,25.6645733,55.744918299999995
8,2,25.697359,55.792024
